date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
21:33:02	7528/7528	---M--	200	added ('OK%20')	text/html	etag:W/%22c03d08706e5e17eff75d09c15f8f34f7%22	https://ctforward.org/	/Users/indasiasummerfield/websites/ctforward/ctforward.org/index.html	(from )
21:33:02	201921/201921	---M-Z	200	added ('OK%20')	text/css	date:Tue,%2003%20Apr%202018%2007:52:01%20GMT	https://ctforward.org/assets/application-419cfa1c31d1cb844e8afbadeae467d5824ce5036f71233cfc4f18c60963c60b.css	/Users/indasiasummerfield/websites/ctforward/ctforward.org/assets/application-419cfa1c31d1cb844e8afbadeae467d5824ce5036f71233cfc4f18c60963c60b.css	(from https://ctforward.org/)
21:33:03	367238/367238	---M-Z	200	added ('OK%20')	application/javascript	date:Mon,%2018%20Nov%202019%2019:44:45%20GMT	https://ctforward.org/assets/application-23a5aabbb78f7aefd26d7866f583191f9f2785d1ac4af2965fb48c4348d89a69.js	/Users/indasiasummerfield/websites/ctforward/ctforward.org/assets/application-23a5aabbb78f7aefd26d7866f583191f9f2785d1ac4af2965fb48c4348d89a69.js	(from https://ctforward.org/)
21:33:04	25687/25687	---M--	200	added ('OK%20')	image/png	date:Fri,%2009%20Dec%202016%2002:17:28%20GMT	https://ctforward.org/assets/logo-about-0e230a1e888f2f240c65ceae475c21aefddbaf2e66aea658232a9bd0b453c93b.png	/Users/indasiasummerfield/websites/ctforward/ctforward.org/assets/logo-about-0e230a1e888f2f240c65ceae475c21aefddbaf2e66aea658232a9bd0b453c93b.png	(from https://ctforward.org/)
21:33:05	66756/66756	---M--	200	added ('OK%20')	image/jpeg	date:Fri,%2009%20Dec%202016%2002:17:28%20GMT	https://ctforward.org/assets/slide2-08e4f37fae6ac086f3c8e852088b4411f5b2367a034f2ada68f185ee6402520e.jpg	/Users/indasiasummerfield/websites/ctforward/ctforward.org/assets/slide2-08e4f37fae6ac086f3c8e852088b4411f5b2367a034f2ada68f185ee6402520e.jpg	(from https://ctforward.org/)
21:33:06	7587/7587	---M--	200	added ('OK%20')	text/html	etag:W/%2222d7812b6ecc6714e6ed4daa9557aeae%22	https://ctforward.org/about	/Users/indasiasummerfield/websites/ctforward/ctforward.org/about.html	(from https://ctforward.org/)
21:33:07	8899/8899	---M--	200	added ('OK%20')	text/html	etag:W/%222650d8d214c358cbdaf984a4e59e75e5%22	https://ctforward.org/contact	/Users/indasiasummerfield/websites/ctforward/ctforward.org/contact.html	(from https://ctforward.org/)
21:33:08	8233/8233	---M--	200	added ('OK%20')	text/html	etag:W/%22d9072286b27633428ee9797d82e85db9%22	/faq	/Users/indasiasummerfield/websites/ctforward/docs/faq.html	(from https://ctforward.org/)
21:33:09	19347/19347	---M--	200	added ('OK%20')	text/html	etag:W/%2298836192f3872f2b6162b5d78dd16905%22	https://ctforward.org/terms-of-service	/Users/indasiasummerfield/websites/ctforward/ctforward.org/terms-of-service.html	(from https://ctforward.org/)
21:33:10	15388/15388	---M--	200	added ('OK%20')	text/html	etag:W/%22835956df95ac6ee1eeeed7f6fb910583%22	https://ctforward.org/privacy-policy	/Users/indasiasummerfield/websites/ctforward/ctforward.org/privacy-policy.html	(from https://ctforward.org/)
21:33:11	5905/5905	---M--	200	added ('OK%20')	text/html	etag:W/%228bf04d3827814e8237646e7a74208c43%22	https://ctforward.org/users/password/new	/Users/indasiasummerfield/websites/ctforward/ctforward.org/users/password/new.html	(from https://ctforward.org/)
21:33:12	1114/1114	---M--	200	added ('OK%20')	image/png	date:Fri,%2009%20Dec%202016%2002:19:20%20GMT	https://ctforward.org/assets/icheck/minimal/minimal-2ec52d6497f27f697e161200fcc0dae3c20ba11c3322d2e2e9d0ad19355ea298.png	/Users/indasiasummerfield/websites/ctforward/ctforward.org/assets/icheck/minimal/minimal-2ec52d6497f27f697e161200fcc0dae3c20ba11c3322d2e2e9d0ad19355ea298.png	(from https://ctforward.org/assets/application-419cfa1c31d1cb844e8afbadeae467d5824ce5036f71233cfc4f18c60963c60b.css)
21:33:13	1410/1410	---M--	200	added ('OK%20')	image/png	date:Fri,%2009%20Dec%202016%2002:19:20%20GMT	https://ctforward.org/assets/icheck/minimal/minimal@2x-c4e6567d9f75e60bcc26c0cc71ddd3268d02eff92e2907920ef2904028955b78.png	/Users/indasiasummerfield/websites/ctforward/ctforward.org/assets/icheck/minimal/minimal@2x-c4e6567d9f75e60bcc26c0cc71ddd3268d02eff92e2907920ef2904028955b78.png	(from https://ctforward.org/assets/application-419cfa1c31d1cb844e8afbadeae467d5824ce5036f71233cfc4f18c60963c60b.css)
21:33:14	1130/1130	---M--	200	added ('OK%20')	image/png	date:Fri,%2009%20Dec%202016%2002:19:20%20GMT	https://ctforward.org/assets/icheck/minimal/red-9c2ab7cc55dfafd7343804da7fa39111e1b225fdba40a532a7425ceb2171e4a9.png	/Users/indasiasummerfield/websites/ctforward/ctforward.org/assets/icheck/minimal/red-9c2ab7cc55dfafd7343804da7fa39111e1b225fdba40a532a7425ceb2171e4a9.png	(from https://ctforward.org/assets/application-419cfa1c31d1cb844e8afbadeae467d5824ce5036f71233cfc4f18c60963c60b.css)
21:33:15	1410/1410	---M--	200	added ('OK%20')	image/png	date:Fri,%2009%20Dec%202016%2002:19:20%20GMT	https://ctforward.org/assets/icheck/minimal/red@2x-bd22b4d271868f16cc2161ac0fae8ec07e3dd5aa1057b0e2712e3fa1c1e9d842.png	/Users/indasiasummerfield/websites/ctforward/ctforward.org/assets/icheck/minimal/red@2x-bd22b4d271868f16cc2161ac0fae8ec07e3dd5aa1057b0e2712e3fa1c1e9d842.png	(from https://ctforward.org/assets/application-419cfa1c31d1cb844e8afbadeae467d5824ce5036f71233cfc4f18c60963c60b.css)
21:33:16	1143/1143	---M--	200	added ('OK%20')	image/png	date:Fri,%2009%20Dec%202016%2002:19:20%20GMT	https://ctforward.org/assets/icheck/minimal/green-696e11dbe54fd4909439870ddb7c827c0799b2d565cffaf2804087ff58600e23.png	/Users/indasiasummerfield/websites/ctforward/ctforward.org/assets/icheck/minimal/green-696e11dbe54fd4909439870ddb7c827c0799b2d565cffaf2804087ff58600e23.png	(from https://ctforward.org/assets/application-419cfa1c31d1cb844e8afbadeae467d5824ce5036f71233cfc4f18c60963c60b.css)
21:33:17	1408/1408	---M--	200	added ('OK%20')	image/png	date:Fri,%2009%20Dec%202016%2002:19:20%20GMT	https://ctforward.org/assets/icheck/minimal/green@2x-aad28af306b2aa916f459f466de51c7ce86fa5a60dc924a0572a64db102427f4.png	/Users/indasiasummerfield/websites/ctforward/ctforward.org/assets/icheck/minimal/green@2x-aad28af306b2aa916f459f466de51c7ce86fa5a60dc924a0572a64db102427f4.png	(from https://ctforward.org/assets/application-419cfa1c31d1cb844e8afbadeae467d5824ce5036f71233cfc4f18c60963c60b.css)
21:33:18	1132/1132	---M--	200	added ('OK%20')	image/png	date:Fri,%2009%20Dec%202016%2002:19:20%20GMT	https://ctforward.org/assets/icheck/minimal/blue-554d1c81ca2ad1da94f15b8d6446069244cbcb4d3d11028cd30940eb2d437b13.png	/Users/indasiasummerfield/websites/ctforward/ctforward.org/assets/icheck/minimal/blue-554d1c81ca2ad1da94f15b8d6446069244cbcb4d3d11028cd30940eb2d437b13.png	(from https://ctforward.org/assets/application-419cfa1c31d1cb844e8afbadeae467d5824ce5036f71233cfc4f18c60963c60b.css)
21:33:19	1410/1410	---M--	200	added ('OK%20')	image/png	date:Fri,%2009%20Dec%202016%2002:19:20%20GMT	https://ctforward.org/assets/icheck/minimal/blue@2x-703ab1d8cf4148e179021fdfdbb045297f0d383c872b8a433794b5ffe8480424.png	/Users/indasiasummerfield/websites/ctforward/ctforward.org/assets/icheck/minimal/blue@2x-703ab1d8cf4148e179021fdfdbb045297f0d383c872b8a433794b5ffe8480424.png	(from https://ctforward.org/assets/application-419cfa1c31d1cb844e8afbadeae467d5824ce5036f71233cfc4f18c60963c60b.css)
21:33:20	1151/1151	---M--	200	added ('OK%20')	image/png	date:Fri,%2009%20Dec%202016%2002:19:20%20GMT	https://ctforward.org/assets/icheck/minimal/aero-dd315622eec3d7116566abc8400b484f08c2a4d18f06f1ba308886ba50e856e2.png	/Users/indasiasummerfield/websites/ctforward/ctforward.org/assets/icheck/minimal/aero-dd315622eec3d7116566abc8400b484f08c2a4d18f06f1ba308886ba50e856e2.png	(from https://ctforward.org/assets/application-419cfa1c31d1cb844e8afbadeae467d5824ce5036f71233cfc4f18c60963c60b.css)
